Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200330,S92000003,2,75,436,40.2104964151789,4,34,3.13568091311028,2827,260.722645334199
20200330,S92000003,3,43,399,36.7142663909876,11,31,2.85248686245768,2857,262.88886987231
20200330,S92000003,4,67,449,40.9778838071648,2,16,1.46023639401924,2887,263.481404345846
20200330,S92000003,5,65,523,48.1246566632406,5,27,2.48444690230879,2998,275.865622708213
20200331,S92000003,1,86,535,49.3287145674609,12,47,4.33355062555264,3297,303.993966222278
20200331,S92000003,2,72,508,46.850761878236,9,43,3.96571409599242,3017,278.245568083933
20200331,S92000003,3,45,444,40.8549731268133,10,41,3.77264391486339,3058,281.384026625664
20200331,S92000003,4,66,515,47.0013589324942,3,19,1.73403071789784,3120,284.746096833751
20200331,S92000003,5,68,591,54.3817821949812,4,31,2.85251311005824,3250,299.053793796428
20200401,S92000003,1,75,610,56.2439549273854,12,59,5.43998908314055,3472,320.129527062102
20200401,S92000003,2,84,592,54.5977382518026,11,54,4.9801990972928,3205,295.584039015249
20200401,S92000003,3,72,516,47.4801039041344,6,47,4.32473814630681,3238,297.946853568967
20200401,S92000003,4,66,581,53.0248340578235,10,29,2.64667846415987,3309,301.995139238103
20200401,S92000003,5,85,676,62.203189109657004,5,36,3.31259586974505,3425,315.156690385467
20200402,S92000003,1,73,683,62.9747888777118,9,68,6.26981792633148,3655,337.002713540317
20200402,S92000003,2,95,687,63.3591996266695,9,63,5.81023228017493,3374,311.170217671591
20200402,S92000003,3,72,588,54.1052346814554,6,53,4.87683237775023,3399,312.761382112699
20200402,S92000003,4,69,650,59.3221035070315,9,38,3.46806143579569,3474,317.053827051427
20200402,S92000003,5,44,720,66.251917394901,3,39,3.58864552555714,3606,331.811686286129
20200403,S92000003,1,94,777,71.6418901288171,18,86,7.92947561271335,3851,355.07454168092
20200403,S92000003,2,87,774,71.3828537278635,10,73,6.73249137226619,3551,327.494203601606
20200403,S92000003,3,70,658,60.5463340482954,10,63,5.79698943015594,3599,331.164523160813
20200403,S92000003,4,67,717,65.436843406987,12,50,4.56323873131011,3634,331.656190991619
20200403,S92000003,5,59,779,71.6808939592054,7,46,4.23276138911868,3787,348.466682186792
20200404,S92000003,1,51,828,76.3442535735657,5,91,8.39049163670831,4006,369.366038424764
20200404,S92000003,2,68,842,77.654215554084,10,83,7.65475046435745,3678,339.206894071165
20200404,S92000003,3,44,702,64.5950250788805,2,65,5.98102084063708,3711,341.470282147757
20200404,S92000003,4,45,762,69.5437582651661,2,52,4.74576828056252,3756,342.790493496016
20200404,S92000003,5,43,822,75.637605692512,7,53,4.87687725268021,3888,357.760353932465
20200405,S92000003,1,63,891,82.1530554759022,12,103,9.49693009429622,4124,380.246016591045
20200405,S92000003,2,42,884,81.5277037408673,14,97,8.94591319328522,3812,351.565165905188
20200405,S92000003,3,59,761,70.0239516880741,5,70,6.44109936683993,3809,350.487821261333
20200405,S92000003,4,34,796,72.646760602457,7,59,5.38462170294594,3846,351.004323212374
20200405,S92000003,5,27,849,78.1220525948208,6,59,5.42897656430439,3974,365.673777399079
20200406,S92000003,1,101,992,91.4655791606005,20,123,11.3409941902761,4348,400.899534466019
20200406,S92000003,2,92,976,90.0124873881069,15,112,10.3293018314221,3985,367.520248198367
20200406,S92000003,3,70,831,76.4650510549141,13,83,7.63730353496735,3992,367.326695320357
20200406,S92000003,4,62,858,78.3051766292816,8,67,6.11473989995555,4005,365.51542237794
20200406,S92000003,5,75,924,85.023293990123,6,65,5.98107587592856,4144,381.31659122843
20200407,S92000003,1,90,1082,99.7638675925098,15,138,12.724042262261,4540,418.602549787426
20200407,S92000003,2,72,1048,96.652752851164,14,126,11.6204645603499,4153,383.0142009455
20200407,S92000003,3,69,900,82.8141347165134,9,92,8.46544488213248,4149,381.773161043127
20200407,S92000003,4,73,931,84.9675051769943,6,73,6.66232854771277,4197,383.038259106171
20200407,S92000003,5,44,968,89.0720222753669,3,68,6.25712553174065,4300,395.671173330659
20200408,S92000003,1,74,1156,106.586904747635,21,159,14.6603095630398,4732,436.305565108832
20200408,S92000003,2,69,1117,103.016340586594,15,141,13.0038531984868,4358,401.920512333371
20200408,S92000003,3,60,960,88.3350770309476,10,102,9.38560193453819,4324,397.875909460227
20200408,S92000003,4,75,1006,91.8123632739595,5,78,7.11865242084378,4328,394.993944582204
20200408,S92000003,5,59,1027,94.5009988396713,1,69,6.34914208367801,4440,408.553490601889
20200409,S92000003,1,83,1239,114.239770745952,19,178,16.4121704542207,4913,452.99434517745
20200409,S92000003,2,69,1186,109.379928322023,15,156,14.3872418366236,4550,419.627886901523
20200409,S92000003,3,48,1008,92.751830882495,7,109,10.0297118712222,4496,413.702610761605
20200409,S92000003,4,54,1060,96.7406611037744,16,94,8.57888881486302,4511,411.695398338799
20200409,S92000003,5,47,1074,98.8257767807273,6,75,6.90124139530219,4587,422.079923736682
20200410,S92000003,1,71,1310,120.78619828668,20,198,18.2562345502005,5109,471.066173318052
20200410,S92000003,2,75,1261,116.296871512708,9,165,15.2172750195058,4741,437.243035560466
20200410,S92000003,3,61,1069,98.3647889021698,8,117,10.7658375131467,4676,430.265437704907
20200410,S92000003,4,66,1126,102.764136229104,12,106,9.67406611037744,4683,427.392939574505
20200410,S92000003,5,51,1125,103.518620929533,5,80,7.361324154989,4731,435.330307215662
